admin.php | DataMappingLGPD | tables: 1 | forms: 4
acesso.php | DataMappingLGPD | tables: 1 | forms: 1
aplicacao.php | DataMappingLGPD | tables: 1 | forms: 3
auditoria.php | DataMappingLGPD | tables: 1 | forms: 4
aviso.php | DataMappingLGPD | tables: 0 | forms: 11
cliente.php | DataMappingLGPD | tables: 1 | forms: 8
clienteup.php | DataMappingLGPD | tables: 1 | forms: 4
consentimento.php | DataMappingLGPD | tables: 1 | forms: 4
controle.php | DataMappingLGPD | tables: 1 | forms: 4
cookie.php | DataMappingLGPD | tables: 1 | forms: 3
denuncia.php | DataMappingLGPD | tables: 1 | forms: 3
departamento.php | DataMappingLGPD | tables: 1 | forms: 31
documentogestao.php | DataMappingLGPD | tables: 1 | forms: 3
dpo.php | DataMappingLGPD | tables: 0 | forms: 4
faq.php | DataMappingLGPD | tables: 0 | forms: 1
finalidade.php | DataMappingLGPD | tables: 1 | forms: 22
formgeral.php?c=1715 | DataMappingLGPD | tables: 0 | forms: 3
formgeralti.php?c=1715 | DataMappingLGPD | tables: 0 | forms: 3
ia.php | DataMappingLGPD | tables: 1 | forms: 1
incidente.php | DataMappingLGPD | tables: 1 | forms: 3
info.php | DataMappingLGPD | tables: 3 | forms: 1
lia.php | DataMappingLGPD | tables: 1 | forms: 4
mapeamento.php | DataMappingLGPD | tables: 1 | forms: 4
mapeamento.php?c=1715 | DataMappingLGPD | tables: 1 | forms: 4
mapeamentoapr.php | DataMappingLGPD | tables: 1 | forms: 1
mapeamentotec.php | DataMappingLGPD | tables: 1 | forms: 4
meuplano.php | DataMappingLGPD | tables: 0 | forms: 1
notificacao.php | DataMappingLGPD | tables: 0 | forms: 1
planoacao.php | DataMappingLGPD | tables: 1 | forms: 192
planoacaogeral.php | DataMappingLGPD | tables: 1 | forms: 3
planoacaoind.php | DataMappingLGPD | tables: 0 | forms: 2
processo.php | DataMappingLGPD | tables: 1 | forms: 5
processo.php?c=1715 | DataMappingLGPD | tables: 1 | forms: 5
requisicao.php | DataMappingLGPD | tables: 1 | forms: 5
risco.php | DataMappingLGPD | tables: 1 | forms: 134
riscoindicador.php | DataMappingLGPD | tables: 1 | forms: 4
riscomapa.php | DataMappingLGPD | tables: 2 | forms: 3
riscoreldpia.php | DataMappingLGPD | tables: 1 | forms: 3
ropa.php | DataMappingLGPD | tables: 1 | forms: 4
servico.php | DataMappingLGPD | tables: 0 | forms: 5
terceiro.php | DataMappingLGPD | tables: 1 | forms: 5
titulardado.php | DataMappingLGPD | tables: 1 | forms: 55
treinamento.php | DataMappingLGPD | tables: 1 | forms: 4
admin.php?aba=auditoria&idcliente_aba=1715 | DataMappingLGPD | tables: 1 | forms: 2
admin.php?aba=controle&idcliente_aba=1715 | DataMappingLGPD | tables: 2 | forms: 2
admin.php?aba=denuncia&idcliente_aba=1715 | DataMappingLGPD | tables: 0 | forms: 2
admin.php?aba=documento&idcliente_aba=1715 | DataMappingLGPD | tables: 1 | forms: 2
admin.php?aba=mapeamento&idcliente_aba=1715 | DataMappingLGPD | tables: 1 | forms: 4
admin.php?aba=processo&idcliente_aba=1715 | DataMappingLGPD | tables: 2 | forms: 2
admin.php?aba=requisicao&idcliente_aba=1715 | DataMappingLGPD | tables: 0 | forms: 2
admin.php?aba=terceiro&idcliente_aba=1715 | DataMappingLGPD | tables: 2 | forms: 2
admin.php?aba=treinamento&idcliente_aba=1715 | DataMappingLGPD | tables: 1 | forms: 2
